train_loss,val_rmse,val_mae,val_r2,val_accuracy,val_f1,lr
0.48195417517813566,0.48933495693095497,0.42390685847827364,-0.06277049851959782,1.0,0.0,2e-05
0.41805563741755264,0.47983735146706785,0.4291613791670118,-0.02191578888438306,1.0,0.0,2e-05
0.4220446164362899,0.4807125517128038,0.42508275210857394,-0.025647039070427535,1.0,0.0,2e-05
0.4624015836515159,0.48670219688070926,0.4210424018757684,-0.05136525307762008,1.0,0.0,2e-05
0.4640380918422592,0.511379651497425,0.39436600229569846,-0.16068371832570372,1.0,0.0,2e-05
0.45008278060182233,0.4889294591200121,0.4169049880334309,-0.0610098536027166,1.0,0.0,2e-05
0.466582303013757,0.4885387071132957,0.4081918375832694,-0.05931461495005408,1.0,0.0,2e-05
0.4194521313515779,0.4812847798289953,0.4143198792423521,-0.02809030121894751,1.0,0.0,1e-05
0.4254821661476777,0.483470855929911,0.40845516536917004,-0.0374510288176122,1.0,0.0,1e-05
0.42181525650982543,0.500480050890303,0.39162742091076713,-0.11173313275533125,1.0,0.0,1e-05
0.42594498869414643,0.4928410025382888,0.40021823910730225,-0.07805438726126201,1.0,0.0,1e-05
0.4259692015491913,0.48151795002669034,0.41286134187664303,-0.02908670957404058,1.0,0.0,1e-05
0.4262135638811878,0.48701417004264747,0.4040359152214868,-0.05271352258098805,1.0,0.0,1e-05
0.4189680725614601,0.48478072042091935,0.40569724568298887,-0.043080162835095415,1.0,0.0,5e-06
0.4250987818307966,0.48220182980705845,0.40871655770710535,-0.03201192289805199,1.0,0.0,5e-06
0.41609265926842376,0.48351346315658694,0.408397091286523,-0.037633893444758426,1.0,0.0,5e-06
0.4367674034889613,0.4855895445813596,0.40445951563971383,-0.046563685192923865,1.0,0.0,5e-06
